base-record path=sylver/move26_data/full_82.txt rows=200
base-record path=sylver/move26_data/x_sortie.txt rows=3
ROW-CHECKPOINT loaded path=sylver/move26_data/periodicity_x.cache.rowstate active_n=409 scanned_to=407 shapes=1406524 eparts=1051 evaluations=23224931838
engine base=16,26,82,88, f=59 tbar=118
ROW begin n=409 shapes=1406524 eparts=1051
EVALUATIONS count=25340000000 sid=1457508 m=339 shapes=1467426 eparts=1077
SHAPES count=1470000 eparts=1080 scanned_to=407
EVALUATIONS count=25350000000 sid=1469292 m=133 shapes=1470387 eparts=1080
EVALUATIONS count=25360000000 sid=723555 m=117 shapes=1470387 eparts=1080
EVALUATIONS count=25370000000 sid=204 m=211 shapes=1470387 eparts=1080
EVALUATIONS count=25380000000 sid=723555 m=161 shapes=1470387 eparts=1080
EVALUATIONS count=25390000000 sid=723555 m=171 shapes=1470387 eparts=1080
EVALUATIONS count=25400000000 sid=1467627 m=233 shapes=1470387 eparts=1080
EVALUATIONS count=25410000000 sid=1467627 m=283 shapes=1470387 eparts=1080
EVALUATIONS count=25420000000 sid=1467627 m=255 shapes=1470387 eparts=1080
EVALUATIONS count=25430000000 sid=1469749 m=397 shapes=1470387 eparts=1080
EVALUATIONS count=25440000000 sid=1467528 m=73 shapes=1473064 eparts=1080
EVALUATIONS count=25450000000 sid=1308151 m=217 shapes=1473064 eparts=1080
EVALUATIONS count=25460000000 sid=1320276 m=277 shapes=1473064 eparts=1080
EVALUATIONS count=25470000000 sid=1470789 m=311 shapes=1473064 eparts=1080
EVALUATIONS count=25480000000 sid=5985 m=393 shapes=1473064 eparts=1080
EVALUATIONS count=25490000000 sid=212319 m=155 shapes=1475837 eparts=1081
EVALUATIONS count=25500000000 sid=1473064 m=129 shapes=1475837 eparts=1081
EVALUATIONS count=25510000000 sid=2678 m=245 shapes=1475837 eparts=1081
EVALUATIONS count=25520000000 sid=2552 m=291 shapes=1475837 eparts=1081
EVALUATIONS count=25530000000 sid=591883 m=337 shapes=1475837 eparts=1081
EVALUATIONS count=25540000000 sid=1473064 m=269 shapes=1475837 eparts=1081
EVALUATIONS count=25550000000 sid=1467426 m=47 shapes=1478526 eparts=1081
EVALUATIONS count=25560000000 sid=1477824 m=235 shapes=1478526 eparts=1081
EVALUATIONS count=25570000000 sid=1467426 m=249 shapes=1478526 eparts=1081
SHAPES count=1480000 eparts=1084 scanned_to=407
EVALUATIONS count=25580000000 sid=1478735 m=41 shapes=1480175 eparts=1084
EVALUATIONS count=25590000000 sid=1481335 m=153 shapes=1481655 eparts=1084
EVALUATIONS count=25600000000 sid=732869 m=173 shapes=1481655 eparts=1084
EVALUATIONS count=25610000000 sid=733005 m=227 shapes=1481655 eparts=1084
EVALUATIONS count=25620000000 sid=732958 m=263 shapes=1481655 eparts=1084
EVALUATIONS count=25630000000 sid=732592 m=243 shapes=1481655 eparts=1084
EVALUATIONS count=25640000000 sid=1478737 m=327 shapes=1481655 eparts=1084
EVALUATIONS count=25650000000 sid=732538 m=135 shapes=1484477 eparts=1084
EVALUATIONS count=25660000000 sid=1482137 m=141 shapes=1484477 eparts=1084
EVALUATIONS count=25670000000 sid=1478633 m=111 shapes=1484477 eparts=1084
EVALUATIONS count=25680000000 sid=732495 m=211 shapes=1484477 eparts=1084
EVALUATIONS count=25690000000 sid=1478633 m=221 shapes=1484477 eparts=1084
EVALUATIONS count=25700000000 sid=1478633 m=283 shapes=1484477 eparts=1084
EVALUATIONS count=25710000000 sid=714033 m=393 shapes=1484477 eparts=1084
EVALUATIONS count=25720000000 sid=1484581 m=83 shapes=1487565 eparts=1086
EVALUATIONS count=25730000000 sid=1484583 m=209 shapes=1487565 eparts=1086
EVALUATIONS count=25740000000 sid=1484581 m=263 shapes=1487565 eparts=1086
EVALUATIONS count=25750000000 sid=1484502 m=99 shapes=1487805 eparts=1086
SHAPES count=1490000 eparts=1086 scanned_to=407
EVALUATIONS count=25760000000 sid=1484477 m=79 shapes=1490446 eparts=1086
EVALUATIONS count=25770000000 sid=1490409 m=275 shapes=1490446 eparts=1086
EVALUATIONS count=25780000000 sid=1484477 m=279 shapes=1490446 eparts=1086
EVALUATIONS count=25790000000 sid=1490446 m=27 shapes=1493436 eparts=1087
EVALUATIONS count=25800000000 sid=1490446 m=121 shapes=1493436 eparts=1087
EVALUATIONS count=25810000000 sid=1490448 m=241 shapes=1493436 eparts=1087
EVALUATIONS count=25820000000 sid=1491769 m=371 shapes=1493436 eparts=1087
EVALUATIONS count=25830000000 sid=1478574 m=101 shapes=1496322 eparts=1087
EVALUATIONS count=25840000000 sid=1478526 m=141 shapes=1496322 eparts=1087
EVALUATIONS count=25850000000 sid=1478526 m=199 shapes=1496322 eparts=1087
EVALUATIONS count=25860000000 sid=1478527 m=307 shapes=1496322 eparts=1087
EVALUATIONS count=25870000000 sid=1496429 m=93 shapes=1499370 eparts=1089
EVALUATIONS count=25880000000 sid=737825 m=87 shapes=1499370 eparts=1089
EVALUATIONS count=25890000000 sid=737827 m=179 shapes=1499370 eparts=1089
EVALUATIONS count=25900000000 sid=95070 m=281 shapes=1499370 eparts=1089
EVALUATIONS count=25910000000 sid=737825 m=251 shapes=1499370 eparts=1089
EVALUATIONS count=25920000000 sid=737826 m=315 shapes=1499370 eparts=1089
SHAPES count=1500000 eparts=1089 scanned_to=407
EVALUATIONS count=25930000000 sid=1483443 m=123 shapes=1502218 eparts=1089
EVALUATIONS count=25940000000 sid=723358 m=97 shapes=1502218 eparts=1089
EVALUATIONS count=25950000000 sid=1496322 m=89 shapes=1502218 eparts=1089
EVALUATIONS count=25960000000 sid=1496322 m=149 shapes=1502218 eparts=1089
EVALUATIONS count=25970000000 sid=197 m=291 shapes=1502218 eparts=1089
EVALUATIONS count=25980000000 sid=1500634 m=323 shapes=1502218 eparts=1089
EVALUATIONS count=25990000000 sid=723362 m=329 shapes=1502218 eparts=1089
EVALUATIONS count=26000000000 sid=1502326 m=51 shapes=1505336 eparts=1091
EVALUATIONS count=26010000000 sid=1502326 m=127 shapes=1505336 eparts=1091
EVALUATIONS count=26020000000 sid=1503450 m=275 shapes=1505336 eparts=1091
EVALUATIONS count=26030000000 sid=1502993 m=349 shapes=1505336 eparts=1091
EVALUATIONS count=26040000000 sid=1502218 m=61 shapes=1508241 eparts=1091
EVALUATIONS count=26050000000 sid=5288 m=231 shapes=1508241 eparts=1091
EVALUATIONS count=26060000000 sid=547869 m=307 shapes=1508241 eparts=1091
EVALUATIONS count=26070000000 sid=648069 m=383 shapes=1508241 eparts=1091
SHAPES count=1510000 eparts=1092 scanned_to=407
EVALUATIONS count=26080000000 sid=1508241 m=81 shapes=1511269 eparts=1092
EVALUATIONS count=26090000000 sid=1508362 m=189 shapes=1511269 eparts=1092
EVALUATIONS count=26100000000 sid=214263 m=321 shapes=1511269 eparts=1092
EVALUATIONS count=26110000000 sid=1450289 m=397 shapes=1511269 eparts=1092
EVALUATIONS count=26120000000 sid=1513865 m=173 shapes=1514193 eparts=1092
EVALUATIONS count=26130000000 sid=1457394 m=185 shapes=1514193 eparts=1092
EVALUATIONS count=26140000000 sid=1512193 m=319 shapes=1514193 eparts=1092
EVALUATIONS count=26150000000 sid=1457394 m=319 shapes=1514193 eparts=1092
EVALUATIONS count=26160000000 sid=1514405 m=129 shapes=1517047 eparts=1095
EVALUATIONS count=26170000000 sid=765419 m=153 shapes=1517047 eparts=1095
EVALUATIONS count=26180000000 sid=349390 m=197 shapes=1517047 eparts=1095
EVALUATIONS count=26190000000 sid=197 m=273 shapes=1517047 eparts=1095
EVALUATIONS count=26200000000 sid=349388 m=217 shapes=1517047 eparts=1095
EVALUATIONS count=26210000000 sid=765417 m=293 shapes=1517047 eparts=1095
EVALUATIONS count=26220000000 sid=767855 m=379 shapes=1517047 eparts=1095
EVALUATIONS count=26230000000 sid=1514298 m=91 shapes=1519606 eparts=1095
EVALUATIONS count=26240000000 sid=1514297 m=211 shapes=1519606 eparts=1095
EVALUATIONS count=26250000000 sid=1451707 m=345 shapes=1519606 eparts=1095
SHAPES count=1520000 eparts=1096 scanned_to=407
EVALUATIONS count=26260000000 sid=1522009 m=131 shapes=1522316 eparts=1096
EVALUATIONS count=26270000000 sid=1519606 m=77 shapes=1522316 eparts=1096
EVALUATIONS count=26280000000 sid=1519606 m=101 shapes=1522316 eparts=1096
EVALUATIONS count=26290000000 sid=765320 m=135 shapes=1522316 eparts=1096
